Year,CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals
2008,NE-500,Nebraska Balance of State CoC,1637.0,309.0,928.0,1237.0,400.0,608.0,147.0,310.0,457.0,151.0,1029.0,162.0,618.0,780.0,249.0,344.0,44.0,208.0,252.0,92.0,78.0,53.0,25.0
2008,NE-501,"Omaha, Council Bluffs CoC",1197.0,707.0,418.0,1125.0,72.0,928.0,638.0,218.0,856.0,72.0,269.0,69.0,200.0,269.0,0.0,89.0,31.0,58.0,89.0,0.0,550.0,500.0,50.0
2008,NE-502,Lincoln CoC,1151.0,428.0,437.0,865.0,286.0,708.0,267.0,244.0,511.0,197.0,443.0,161.0,193.0,354.0,89.0,179.0,42.0,69.0,111.0,68.0,79.0,74.0,5.0
2008,NH-500,New Hampshire Balance of State CoC,986.0,464.0,366.0,830.0,156.0,543.0,300.0,144.0,444.0,99.0,443.0,164.0,222.0,386.0,57.0,118.0,36.0,61.0,97.0,21.0,213.0,148.0,65.0
2008,NH-501,Manchester CoC,576.0,206.0,167.0,373.0,203.0,405.0,153.0,52.0,205.0,200.0,171.0,53.0,115.0,168.0,3.0,54.0,14.0,39.0,53.0,1.0,114.0,97.0,17.0
2008,NH-502,Nashua/Hillsborough County CoC,457.0,226.0,106.0,332.0,125.0,224.0,93.0,43.0,136.0,88.0,233.0,133.0,63.0,196.0,37.0,78.0,41.0,24.0,65.0,13.0,110.0,52.0,58.0
2008,NJ-500,Atlantic City & County CoC,476.0,377.0,21.0,398.0,78.0,382.0,293.0,17.0,310.0,72.0,94.0,84.0,4.0,88.0,6.0,40.0,35.0,2.0,37.0,3.0,85.0,72.0,13.0
2008,NJ-501,Bergen County CoC,1627.0,278.0,1236.0,1514.0,113.0,690.0,172.0,415.0,587.0,103.0,937.0,106.0,821.0,927.0,10.0,333.0,41.0,287.0,328.0,5.0,58.0,36.0,22.0
2008,NJ-502,Burlington County CoC,896.0,613.0,167.0,780.0,116.0,610.0,393.0,115.0,508.0,102.0,286.0,220.0,52.0,272.0,14.0,152.0,112.0,33.0,145.0,7.0,218.0,187.0,31.0
2008,NJ-503,"Camden City & County/Gloucester, Cape May, Cumberland Counties CoC",1454.0,889.0,222.0,1111.0,343.0,856.0,508.0,121.0,629.0,227.0,598.0,381.0,101.0,482.0,116.0,184.0,122.0,33.0,155.0,29.0,163.0,108.0,55.0
