CoC Number,CoC Name,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Sheltered ES Homeless Individuals,Sheltered TH Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Overall Homeless People in Families,Sheltered ES Homeless People in Families,Sheltered TH Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Overall Homeless Family Households,Sheltered ES Homeless Family Households,Sheltered TH Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Overall Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Year
VA-604,Prince William County CoC,614.0,195.0,161.0,356.0,258.0,240.0,82.0,10.0,92.0,148.0,374.0,113.0,151.0,264.0,110.0,118.0,36.0,46.0,82.0,36.0,88.0,34.0,54.0,2007
VI-500,Virgin Islands CoC,559.0,28.0,44.0,72.0,487.0,537.0,18.0,32.0,50.0,487.0,22.0,10.0,12.0,22.0,0.0,10.0,4.0,6.0,10.0,0.0,487.0,0.0,487.0,2007
VT-500,Vermont Balance of State CoC,796.0,199.0,317.0,516.0,280.0,485.0,109.0,185.0,294.0,191.0,311.0,90.0,132.0,222.0,89.0,111.0,36.0,45.0,81.0,30.0,162.0,45.0,117.0,2007
VT-501,Burlington/Chittenden County CoC,239.0,141.0,63.0,204.0,35.0,114.0,66.0,20.0,86.0,28.0,125.0,75.0,43.0,118.0,7.0,43.0,25.0,15.0,40.0,3.0,29.0,15.0,14.0,2007
WA-500,Seattle/King County CoC,7902.0,2368.0,3312.0,5680.0,2222.0,5107.0,1756.0,1195.0,2951.0,2156.0,2795.0,612.0,2117.0,2729.0,66.0,886.0,184.0,688.0,872.0,14.0,932.0,693.0,239.0,2007
WA-501,Washington Balance of State CoC,7679.0,2254.0,3255.0,5509.0,2170.0,3815.0,1326.0,1025.0,2351.0,1464.0,3864.0,928.0,2230.0,3158.0,706.0,1423.0,312.0,867.0,1179.0,244.0,876.0,327.0,549.0,2007
WA-502,Spokane City & County CoC,1357.0,588.0,424.0,1012.0,345.0,762.0,420.0,126.0,546.0,216.0,595.0,168.0,298.0,466.0,129.0,218.0,59.0,108.0,167.0,51.0,257.0,179.0,78.0,2007
WA-503,"Tacoma, Lakewood/Pierce County CoC",1596.0,470.0,872.0,1342.0,254.0,660.0,318.0,117.0,435.0,225.0,936.0,152.0,755.0,907.0,29.0,299.0,47.0,242.0,289.0,10.0,192.0,0.0,192.0,2007
WA-504,Everett/Snohomish County CoC,3453.0,434.0,1716.0,2150.0,1303.0,2196.0,291.0,923.0,1214.0,982.0,1257.0,143.0,793.0,936.0,321.0,676.0,69.0,474.0,543.0,133.0,207.0,68.0,139.0,2007
WA-508,Vancouver/Clark County CoC,1392.0,336.0,828.0,1164.0,228.0,749.0,164.0,452.0,616.0,133.0,643.0,172.0,376.0,548.0,95.0,220.0,53.0,135.0,188.0,32.0,139.0,66.0,73.0,2007
WI-500,Wisconsin Balance of State CoC,3105.0,1207.0,1610.0,2817.0,288.0,1044.0,468.0,398.0,866.0,178.0,2061.0,739.0,1212.0,1951.0,110.0,715.0,248.0,428.0,676.0,39.0,299.0,178.0,121.0,2007
WI-501,Milwaukee City & County CoC,1470.0,729.0,566.0,1295.0,175.0,769.0,441.0,242.0,683.0,86.0,701.0,288.0,324.0,612.0,89.0,239.0,104.0,106.0,210.0,29.0,234.0,190.0,44.0,2007
WI-502,Racine City & County CoC,256.0,150.0,100.0,250.0,6.0,138.0,104.0,34.0,138.0,0.0,118.0,46.0,66.0,112.0,6.0,42.0,15.0,26.0,41.0,1.0,29.0,29.0,0.0,2007
WI-503,Madison/Dane County CoC,817.0,280.0,443.0,723.0,94.0,452.0,166.0,218.0,384.0,68.0,365.0,114.0,225.0,339.0,26.0,112.0,39.0,67.0,106.0,6.0,127.0,71.0,56.0,2007
WV-500,"Wheeling, Weirton Area CoC",118.0,90.0,6.0,96.0,22.0,104.0,81.0,4.0,85.0,19.0,14.0,9.0,2.0,11.0,3.0,6.0,4.0,1.0,5.0,1.0,9.0,0.0,9.0,2007
WV-501,"Huntington/Cabell, Wayne Counties CoC",331.0,178.0,95.0,273.0,58.0,235.0,152.0,25.0,177.0,58.0,96.0,26.0,70.0,96.0,0.0,33.0,9.0,24.0,33.0,0.0,68.0,48.0,20.0,2007
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",325.0,224.0,39.0,263.0,62.0,262.0,163.0,37.0,200.0,62.0,63.0,61.0,2.0,63.0,0.0,28.0,27.0,1.0,28.0,0.0,133.0,121.0,12.0,2007
WV-508,West Virginia Balance of State CoC,1635.0,1185.0,330.0,1515.0,120.0,1314.0,1155.0,107.0,1262.0,52.0,321.0,30.0,223.0,253.0,68.0,130.0,15.0,89.0,104.0,26.0,941.0,889.0,52.0,2007
WY-500,Wyoming Statewide CoC,537.0,272.0,125.0,397.0,140.0,331.0,243.0,14.0,257.0,74.0,206.0,29.0,111.0,140.0,66.0,91.0,12.0,39.0,51.0,40.0,38.0,0.0,38.0,2007
